lag,acf
0,1.0000000000000002
1,-0.007874015748031513
2,-0.007874015748031484
3,-0.007874015748031577
4,-0.007874015748031439
5,-0.007874015748031519
6,-0.007874015748031508
7,-0.0078740157480315
8,-0.007874015748031472
9,-0.007874015748031527
10,-0.007874015748031534
11,-0.00787401574803152
12,-0.007874015748031484
13,-0.007874015748031538
14,-0.007874015748031477
15,-0.007874015748031517
16,-0.007874015748031501
17,-0.007874015748031512
18,-0.007874015748031494
19,-0.0078740157480315
20,-0.00787401574803145
21,-0.007874015748031501
22,-0.00787401574803143
23,-0.007874015748031475
24,-0.007874015748031421
25,-0.007874015748031479
26,-0.00787401574803155
27,-0.007874015748031503
28,-0.007874015748031569
29,-0.007874015748031501
30,-0.007874015748031477
31,-0.007874015748031517
32,-0.007874015748031428
33,-0.00787401574803144
34,-0.007874015748031496
35,-0.007874015748031562
36,-0.007874015748031517
37,-0.007874015748031536
38,-0.007874015748031515
39,-0.007874015748031453
40,-0.007874015748031565
41,-0.00787401574803149
42,-0.00787401574803153
43,-0.007874015748031492
44,-0.007874015748031515
45,-0.007874015748031532
46,-0.00787401574803147
47,-0.007874015748031496
48,-0.007874015748031477
49,-0.007874015748031503
50,-0.00787401574803151
51,-0.007874015748031581
52,-0.007874015748031489
53,-0.007874015748031486
54,-0.007874015748031524
55,-0.00787401574803151
56,-0.007874015748031503
57,-0.007874015748031548
58,-0.007874015748031555
59,-0.007874015748031465
60,-0.007874015748031416
61,-0.007874015748031484
62,-0.007874015748031487
63,-0.007874015748031437
64,-0.00787401574803153
65,-0.00787401574803152
66,-0.007874015748031492
67,-0.007874015748031439
68,-0.007874015748031454
69,-0.007874015748031527
70,-0.007874015748031532
71,-0.00787401574803154
72,-0.007874015748031517
73,-0.007874015748031505
74,-0.007874015748031494
75,-0.007874015748031513
76,-0.007874015748031527
77,-0.007874015748031503
78,-0.007874015748031545
79,-0.007874015748031465
80,-0.007874015748031444
81,-0.007874015748031496
82,-0.007874015748031522
83,-0.007874015748031492
84,-0.007874015748031486
85,-0.00787401574803153
86,-0.007874015748031505
87,-0.007874015748031607
88,-0.007874015748031461
89,-0.007874015748031519
90,-0.007874015748031517
91,-0.007874015748031515
92,-0.007874015748031534
93,-0.007874015748031484
94,-0.007874015748031463
95,-0.007874015748031506
96,-0.00787401574803152
97,-0.007874015748031482
98,-0.007874015748031492
99,-0.007874015748031558
100,-0.007874015748031484
101,-0.00787401574803155
102,-0.007874015748031477
103,-0.007874015748031432
104,-0.007874015748031472
105,-0.007874015748031423
106,-0.00787401574803148
107,-0.007874015748031461
108,-0.00787401574803152
109,-0.007874015748031496
110,-0.007874015748031492
111,-0.00787401574803149
112,-0.007874015748031463
113,-0.007874015748031458
114,-0.007874015748031522
115,-0.0078740157480315
116,-0.007874015748031548
117,-0.007874015748031534
118,-0.007874015748031534
119,-0.007874015748031463
120,-0.00787401574803153
121,-0.007874015748031512
122,-0.007874015748031536
123,-0.007874015748031456
124,-0.007874015748031557
125,-0.007874015748031487
126,-0.007874015748031496
